CiudadOrigen,CiudadDestino,Distancia
0,0,0.000000000000000000e+00
0,1,4.726653149957165624e+03
0,2,1.204349201851356838e+03
0,3,6.362502102160752656e+03
0,4,3.656991249647720906e+03
0,5,3.129520889848795832e+03
0,6,2.413522322250200432e+03
0,7,5.623041881401916271e+02
0,8,4.620822437618654135e+02
0,9,5.653503338638794958e+03
0,10,1.712356563336036061e+03
0,11,1.603566337885651592e+03
0,12,2.367197710374019607e+03
0,13,2.200365424196626464e+03
0,14,1.289445229546412293e+03
0,15,1.003884953567887692e+03
0,16,3.832687046968484083e+03
0,17,2.257598945782886403e+03
0,18,3.418903917924573761e+03
0,19,2.266984781598676818e+03
0,20,2.956020466776236844e+03
1,0,4.726653149957165624e+03
1,1,0.000000000000000000e+00
1,2,3.587423169909008720e+03
1,3,2.011662247992937864e+03
1,4,1.841400825458704958e+03
1,5,6.976770671306317126e+03
1,6,6.500002769230179183e+03
1,7,5.186866877027016926e+03
1,8,5.027708225424383272e+03
1,9,2.326835189694362725e+03
1,10,4.147823646202909913e+03
1,11,4.722743376470925796e+03
1,12,3.634917468113959785e+03
1,13,3.124142442335176383e+03
1,14,4.906110985291710676e+03
1,15,3.929651002315600181e+03
1,16,7.462785002932886528e+03
1,17,6.337100362153025344e+03
1,18,7.242331806814708216e+03
1,19,5.104555808295173847e+03
1,20,4.042942121772212431e+03
2,0,1.204349201851356838e+03
2,1,3.587423169909008720e+03
2,2,0.000000000000000000e+00
2,3,5.162027702366580343e+03
2,4,2.457865740841024945e+03
2,5,3.677395817694907691e+03
2,6,3.070360402298075314e+03
2,7,1.741999138920567930e+03
2,8,1.443587544972593605e+03
2,9,4.461989354536830433e+03
2,10,1.183624940595626413e+03
2,11,1.519961183714900017e+03
2,12,1.497155970498731904e+03
2,13,1.102744303997984844e+03
2,14,1.500856422180349682e+03
2,15,9.502389173255323840e+02
2,16,4.297459831109536026e+03
2,17,2.902443797905482370e+03
2,18,3.966384373708629937e+03
2,19,2.168794365540449235e+03
2,20,2.208898820679661640e+03
3,0,6.362502102160752656e+03
3,1,2.011662247992937864e+03
3,2,5.162027702366580343e+03
3,3,0.000000000000000000e+00
3,4,2.798672899786611197e+03
3,5,8.063717380960222727e+03
3,6,7.726785165901793334e+03
3,7,6.877268716576370934e+03
3,8,6.580345355678529813e+03
3,9,1.401707886829492054e+03
3,10,5.365604718948275149e+03
3,11,5.945987554645569617e+03
3,12,4.678986428704404716e+03
3,13,4.377003198536642230e+03
3,14,6.224779514167549678e+03
3,15,5.708591770305527461e+03
3,16,8.416991683493573873e+03
3,17,7.577250292817308946e+03
3,18,8.295389382060375283e+03
3,19,6.134932843968220368e+03
3,20,4.801406877155903203e+03
4,0,3.656991249647720906e+03
4,1,1.841400825458704958e+03
4,2,2.457865740841024945e+03
4,3,2.798672899786611197e+03
